IMDB_ID,DVD,Ext,Fmt,Resolution,FPS,Size,Time,Sub,Jellyfin,Sized,Modified,Title,Original_Title,Watched,Rating,Certification,Filename,FullPath
104952,1,.m4v,H264,472p,23.98,4.61,02:00,Text,DIRECT,NO,2020-10-02 18:08,My Cousin Vinny (1992),My Cousin Vinny,,10.0,TV-MA::(TV rating),My Cousin Vinny (1992).m4v,/media/daveg/Lib/Movies/My Cousin Vinny (1992).m4v
112740,1,.m4v,H264,274p,23.98,4.61,01:56,Text,DIRECT,NO,2020-09-11 10:30,Crimson Tide (1995),Crimson Tide,,8.0,R,Crimson Tide (1995).m4v,/media/daveg/Lib/Movies/Crimson Tide (1995).m4v
14039582,0,.m4v,H264,464p,23.98,4.61,02:59,Bitmap,TRANSCODE,NO,2022-09-23 20:07,Drive My Car (2021),Drive My Car,2024-01-24,7.5,Unrated,Drive My Car (2021).m4v,/media/daveg/Lib/Movies/Drive My Car (2021).m4v
24736286,1,.m4v,H264,360p,23.98,4.60,00:14,Bitmap,TRANSCODE,NO,2020-09-29 13:18,"Magnificent Seven (2016), The (2016)",The Magnificent Seven (2016),2017-04-01,7.5,NR,The Magnificent Seven (2016) (2016).m4v,/media/daveg/Lib/Movies/The Magnificent Seven (2016) (2016).m4v
816692,1,.m4v,H264,362p,23.98,4.60,02:49,Text,DIRECT,NO,2020-09-22 14:49,Interstellar (2014),Interstellar,2019-07-10,9.5,TV-14::(TV rating),Interstellar (2014).m4v,/media/daveg/Lib/Movies/Interstellar (2014).m4v
102926,1,.m4v,H264,458p,23.98,4.60,01:58,Text,DIRECT,NO,2020-09-08 19:03,"Silence of the Lambs, The (1991)",The Silence of the Lambs,2020-10-12,8.5,TV-MA,The Silence of the Lambs (1991).m4v,/media/daveg/Lib/Movies/The Silence of the Lambs (1991).m4v
95016,1,.m4v,H264,368p,23.98,4.59,02:12,Text,DIRECT,NO,2021-09-20 20:10,Die Hard (1988),Die Hard,,8.2,"TV-14::(LV, TV Rating.)",Die Hard (1988).m4v,/media/daveg/Lib/Movies/Die Hard (1988).m4v
6060444,1,.m4v,H264,460p,29.97,4.59,01:48,Bitmap,TRANSCODE,NO,2021-11-09 12:51,"Paper Tigers, The (2020)",The Paper Tigers,2021-11-11,8.5,PG-13,The Paper Tigers (2020).m4v,/media/daveg/Lib/Movies/The Paper Tigers (2020).m4v
140352,1,.m4v,H264,368p,23.98,4.59,02:37,Text,DIRECT,NO,2020-12-30 16:36,"Insider, The (1999)",The Insider,2020-12-31,9.5,"TV-14::(LV, TV Rating.)",The Insider (1999).m4v,/media/daveg/Lib/Movies/The Insider (1999).m4v
68638,1,.m4v,H264,360p,23.98,4.58,02:03,Text,DIRECT,NO,2020-09-18 14:06,"Getaway, The (1972)",The Getaway,,8.0,PG,The Getaway (1972).m4v,/media/daveg/Lib/Movies/The Getaway (1972).m4v
135707,1,.m4v,H264,480p,120,4.58,01:37,Bitmap,TRANSCODE,NO,2020-10-15 06:23,Wind River (2000),Wind River,,8.0,PG-13,Wind River (2000).m4v,/media/daveg/Lib/Movies/Wind River (2000).m4v
367882,1,.m4v,H264,356p,23.98,4.57,02:02,Text,DIRECT,NO,2020-09-22 07:49,Indiana Jones and the Kingdom of the Crystal Skull (2008),Indiana Jones and the Kingdom of the Crystal Skull,,10.0,PG-13,Indiana Jones and the Kingdom of the Crystal Skull (2008).m4v,/media/daveg/Lib/Movies/Indiana Jones and the Kingdom of the Crystal Skull (2008).m4v
1071812,1,.m4v,H264,472p,23.98,4.57,01:57,Text,DIRECT,NO,2020-09-30 06:38,Mao's Last Dancer (2009),Mao's Last Dancer,,8.0,PG,Mao's Last Dancer (2009).m4v,/media/daveg/Lib/Movies/Mao's Last Dancer (2009).m4v
124207,1,.m4v,H264,480p,29.97,4.56,01:36,None,-,NO,2020-10-12 12:35,"Thief, The (1997)",The Thief,,8.0,R,The Thief (1997).m4v,/media/daveg/Lib/Movies/The Thief (1997).m4v
54698,1,.m4v,H264,480p,29.97,4.56,01:55,Text,DIRECT,NO,2020-09-04 06:56,Breakfast at Tiffany's (1961),Breakfast at Tiffany's,,8.0,Approved,Breakfast at Tiffany's (1961).m4v,/media/daveg/Lib/Movies/Breakfast at Tiffany's (1961).m4v
428038,1,.m4v,H264,480p,23.98,4.56,01:50,Text,DIRECT,NO,2020-10-11 21:18,Sweet Land (2005),Sweet Land,,10.0,PG,Sweet Land (2005).m4v,/media/daveg/Lib/Movies/Sweet Land (2005).m4v
383534,1,.m4v,H264,480p,29.97,4.55,01:36,Text,DIRECT,NO,2020-10-03 15:22,Noel (2004),Noel,,7.5,PG,Noel (2004).m4v,/media/daveg/Lib/Movies/Noel (2004).m4v
245844,1,.m4v,H264,468p,120,4.54,02:11,Text,DIRECT,NO,2020-09-11 05:59,"Count of Monte Cristo, The (2002)",The Count of Monte Cristo,2014-08-24,10.0,"TV-14::(V, TV rating)",The Count of Monte Cristo (2002).m4v,/media/daveg/Lib/Movies/The Count of Monte Cristo (2002).m4v
38499,1,.m4v,H264,480p,29.97,4.54,02:26,None,-,NO,2022-01-27 16:35,Duel in the Sun (1946),Duel in the Sun,,6.8,Passed::(National Board of Review),Duel in the Sun (1946).m4v,/media/daveg/Lib/Movies/Duel in the Sun (1946).m4v
1596363,1,.m4v,H264,360p,23.98,4.54,02:10,Text,DIRECT,NO,2020-09-02 07:43,"Big Short, The (2015)",The Big Short,2016-04-03,8.0,TV-14::(DLS),The Big Short (2015).m4v,/media/daveg/Lib/Movies/The Big Short (2015).m4v
465580,1,.m4v,H264,368p,23.98,4.54,01:51,Bitmap,TRANSCODE,NO,2020-10-05 19:58,Push (2009),Push,2019-08-30,8.0,PG-13,Push (2009).m4v,/media/daveg/Lib/Movies/Push (2009).m4v
71315,1,.m4v,H264,364p,23.98,4.54,02:10,Text,DIRECT,NO,2020-09-09 09:37,Chinatown (1974),Chinatown,,10.0,TV-14::(TV rating),Chinatown (1974).m4v,/media/daveg/Lib/Movies/Chinatown (1974).m4v
88247,1,.m4v,H264,472p,23.98,4.54,01:47,Text,DIRECT,NO,2020-10-12 08:44,"Terminator, The (1984)",The Terminator,2021-12-23,10.0,TV-14,The Terminator (1984).m4v,/media/daveg/Lib/Movies/The Terminator (1984).m4v
1817273,1,.m4v,H264,356p,23.98,4.54,02:20,Bitmap,TRANSCODE,NO,2020-10-05 11:35,"Place Beyond the Pines, The (2012)",The Place Beyond the Pines,,8.0,R,The Place Beyond the Pines (2012).m4v,/media/daveg/Lib/Movies/The Place Beyond the Pines (2012).m4v
865559,1,.m4v,H264,462p,23.98,4.53,01:38,Text,DIRECT,NO,2020-10-02 19:02,My Life in Ruins (2009),My Life in Ruins,,8.0,PG-13,My Life in Ruins (2009).m4v,/media/daveg/Lib/Movies/My Life in Ruins (2009).m4v
308055,1,.m4v,H264,368p,23.98,4.53,01:57,Bitmap,TRANSCODE,NO,2020-09-03 12:38,Bobby (2006),Bobby,,8.0,R,Bobby (2006).m4v,/media/daveg/Lib/Movies/Bobby (2006).m4v
8267604,1,.m4v,H264,360p,23.98,4.53,02:06,Bitmap,TRANSCODE,NO,2020-09-06 20:49,Capernaum (2018),Capernaum,2020-03-19,8.0,R,Capernaum (2018).m4v,/media/daveg/Lib/Movies/Capernaum (2018).m4v
4196848,1,.m4v,H264,462p,23.98,4.53,01:44,Bitmap,TRANSCODE,NO,2020-10-02 15:28,Mr. Church (2016),Mr. Church,2017-06-30,8.0,PG-13,Mr. Church (2016).m4v,/media/daveg/Lib/Movies/Mr. Church (2016).m4v
76752,1,.m4v,H264,368p,23.98,4.53,02:05,Text,DIRECT,NO,2020-09-13 17:08,"Spy Who Loved Me, The (1977)",The Spy Who Loved Me,,8.0,PG,The Spy Who Loved Me (1977).m4v,/media/daveg/Lib/Movies/James Bond 007/The Spy Who Loved Me (1977).m4v
3758172,1,.m4v,H264,362p,23.98,4.52,01:55,Bitmap,TRANSCODE,NO,2020-09-24 10:10,Jungle (2017),Jungle,2019-01-04,7.5,R,Jungle (2017).m4v,/media/daveg/Lib/Movies/Jungle (2017).m4v
463998,1,.m4v,H264,480p,120,4.52,02:03,Text,DIRECT,NO,2020-09-17 18:20,Freedom Writers (2007),Freedom Writers,,10.0,PG-13,Freedom Writers (2007).m4v,/media/daveg/Lib/Movies/Freedom Writers (2007).m4v
840322,1,.m4v,H264,414p,23.98,4.52,01:52,Text,DIRECT,NO,2020-09-17 10:22,Forever Strong (2008),Forever Strong,,8.0,PG-13,Forever Strong (2008).m4v,/media/daveg/Lib/Movies/Forever Strong (2008).m4v
1599348,1,.m4v,H264,356p,23.98,4.52,01:55,Bitmap,TRANSCODE,NO,2020-10-07 10:46,Safe House (2012),Safe House,,8.0,"TV-14::(DLV, TV Rating.)",Safe House (2012).m4v,/media/daveg/Lib/Movies/Safe House (2012).m4v
272839,1,.m4v,H264,478p,29.97,4.52,03:26,Text,DIRECT,NO,2020-10-01 22:01,Shackleton (2002),Shackleton,,7.6,NR,Shackleton (2002) Part 1.m4v,/media/daveg/Lib/Movies/Shackleton (2002) Part 1.m4v
114369,1,.m4v,H264,364p,29.97,4.52,02:07,Text,DIRECT,NO,2021-11-08 14:38,Se7en (1995),Se7en,2021-11-17,9.5,"TV-14::(DLV, TV Rating.)",Se7en (1995).m4v,/media/daveg/Lib/Movies/Se7en (1995).m4v
104431,"1, 4",.m4v,H264,354p,23.98,4.52,02:00,None,-,NO,2020-08-27 15:39,Home Alone 2: Lost in New York (1992),Home Alone 2: Lost in New York,2023-12-25,7.6,TV-MA::(LV),Home Alone 2- Lost in New York (1992).m4v,/media/daveg/Lib/Movies/Christmas/Home Alone 2- Lost in New York (1992).m4v
7775622,1,.m4v,H264,472p,23.98,4.51,01:40,Text,DIRECT,NO,2020-09-17 17:23,Free Solo (2018),Free Solo,2019-03-29,10.0,PG-13,Free Solo (2018).m4v,/media/daveg/Lib/Movies/Free Solo (2018).m4v
56217,1,.m4v,H264,480p,120,4.51,02:03,Text,DIRECT,NO,2020-09-29 23:10,"Man Who Shot Liberty Valance, The (1962)",The Man Who Shot Liberty Valance,,8.0,Approved,The Man Who Shot Liberty Valance (1962).m4v,/media/daveg/Lib/Movies/The Man Who Shot Liberty Valance (1962).m4v
55796,1,.m4v,H264,362p,47.95,4.51,02:03,Text,DIRECT,NO,2020-09-02 10:02,Billy Budd (1962),Billy Budd,2012-12-05,8.0,TV-G,Billy Budd (1962).m4v,/media/daveg/Lib/Movies/Billy Budd (1962).m4v
1401152,1,.m4v,H264,360p,23.98,4.51,01:53,Bitmap,TRANSCODE,NO,2020-10-13 20:38,Unknown (2011),Unknown,2019-11-29,9.0,PG-13,Unknown (2011).m4v,/media/daveg/Lib/Movies/Unknown (2011).m4v
2334649,1,.m4v,H264,480p,23.98,4.51,01:25,Bitmap,TRANSCODE,NO,2020-09-18 04:51,Fruitvale Station (2013),Fruitvale Station,2016-05-26,9.0,R,Fruitvale Station (2013).m4v,/media/daveg/Lib/Movies/Fruitvale Station (2013).m4v
327056,1,.m4v,H264,360p,23.98,4.51,02:18,Text,DIRECT,NO,2020-10-02 22:02,Mystic River (2003),Mystic River,,8.0,R,Mystic River (2003).m4v,/media/daveg/Lib/Movies/Mystic River (2003).m4v
4998632,1,.m4v,H264,356p,23.98,4.50,02:16,Bitmap,TRANSCODE,NO,2023-02-09 13:30,Ambulance (2022),Ambulance,2023-02-13,7.5,R,Ambulance (2022).m4v,/media/daveg/Lib/Movies/Ambulance (2022).m4v
456396,1,.m4v,H264,480p,23.98,4.50,01:35,Bitmap,TRANSCODE,NO,2020-12-01 15:13,"Child, The (2005)",The Child,2020-12-21,7.5,R,The Child (2005).m4v,/media/daveg/Lib/Movies/The Child (2005).m4v
89880,1,.m4v,H264,370p,23.98,4.50,01:36,Text,DIRECT,NO,2020-10-11 13:27,Rambo: First Blood Part II (1985),Rambo: First Blood Part II,2020-11-02,6.5,TV-14,Rambo- First Blood Part II (1985).m4v,/media/daveg/Lib/Movies/Rambo- First Blood Part II (1985).m4v
988045,1,.m4v,H264,480p,29.97,4.50,02:08,Bitmap,TRANSCODE,NO,2020-10-08 10:01,Sherlock Holmes (2009),Sherlock Holmes,,8.0,PG-13,Sherlock Holmes (2009).m4v,/media/daveg/Lib/Movies/Sherlock Holmes (2009).m4v
73802,1,.m4v,H264,360p,23.98,4.50,01:57,Text,DIRECT,NO,2020-10-12 16:40,Three Days of the Condor (1975),Three Days of the Condor,,10.0,TV-14::(TV rating),Three Days of the Condor (1975).m4v,/media/daveg/Lib/Movies/Three Days of the Condor (1975).m4v
27977,1,.m4v,H264,480p,29.97,4.49,01:27,Bitmap,TRANSCODE,NO,2021-09-15 16:40,Modern Times (1936),Modern Times,,8.5,TV-Y,Modern Times (1936).m4v,/media/daveg/Lib/Movies/Modern Times (1936).m4v
1232207,1,.m4v,H264,480p,23.98,4.49,02:07,Bitmap,TRANSCODE,NO,2020-09-06 20:55,Capitalism: A Love Story (2009),Capitalism: A Love Story,2019-01-23,7.5,R,Capitalism- A Love Story (2009).m4v,/media/daveg/Lib/Movies/Capitalism- A Love Story (2009).m4v
97940,1,.m4v,H264,480p,120,4.48,01:50,Bitmap,TRANSCODE,NO,2021-10-28 15:39,Mystery Train (1989),Mystery Train,,7.6,TV-MA::(TV rating),Mystery Train (1989).m4v,/media/daveg/Lib/Movies/Mystery Train (1989).m4v
89218,1,.m4v,H264,366p,23.98,4.48,01:54,Text,DIRECT,NO,2020-09-20 08:02,"Goonies, The (1985)",The Goonies,,7.8,TV-PG::(DLV),The Goonies (1985).m4v,/media/daveg/Lib/Movies/The Goonies (1985).m4v
293662,1,.m4v,H264,480p,23.98,4.47,01:32,Text,DIRECT,NO,2020-10-13 07:19,"Transporter, The (2002)",The Transporter,,8.0,TV-MA::(LSV),The Transporter (2002).m4v,/media/daveg/Lib/Movies/The Transporter (2002).m4v
385307,1,.m4v,H264,360p,23.98,4.47,01:55,Text,DIRECT,NO,2020-09-23 08:02,Miss Congeniality 2: Armed & Fabulous (2005),Miss Congeniality 2: Armed & Fabulous,,5.1,PG-13,Miss Congeniality 2- Armed & Fabulous (2005).m4v,/media/daveg/Lib/Movies/Miss Congeniality 2- Armed & Fabulous (2005).m4v
29741175,1,.m4v,H264,362p,23.98,4.47,-,Bitmap,TRANSCODE,NO,2020-08-29 17:48,"fabuleux destin d'Amélie Poulain, Le (2001)",Le fabuleux destin d'Amélie Poulain,2014-10-25,10.0,NR,Le fabuleux destin d'Amelie Poulain (2001).m4v,/media/daveg/Lib/Movies/Le fabuleux destin d'Amelie Poulain (2001).m4v
75314,1,.m4v,H264,480p,120,4.47,01:54,Text,DIRECT,NO,2020-10-12 06:19,Taxi Driver (1976),Taxi Driver,,10.0,TV-MA::(TV-MA-LV),Taxi Driver (1976).m4v,/media/daveg/Lib/Movies/Taxi Driver (1976).m4v
3219604,1,.m4v,H264,476p,23.98,4.47,01:35,Bitmap,TRANSCODE,NO,2020-09-27 15:04,"Last Man on the Moon, The (2014)",The Last Man on the Moon,2016-09-10,7.5,TV-MA,The Last Man on the Moon (2014).m4v,/media/daveg/Lib/Movies/The Last Man on the Moon (2014).m4v
765451,1,.m4v,H264,480p,23.98,4.47,01:44,Text,DIRECT,NO,2020-09-18 05:17,Fugitive Pieces (2007),Fugitive Pieces,2017-09-16,8.0,R,Fugitive Pieces (2007).m4v,/media/daveg/Lib/Movies/Fugitive Pieces (2007).m4v
1895587,1,.m4v,H264,460p,23.98,4.47,02:09,Bitmap,TRANSCODE,NO,2020-10-09 09:40,Spotlight (2015),Spotlight,2019-10-12,10.0,R,Spotlight (2015).m4v,/media/daveg/Lib/Movies/Spotlight (2015).m4v
57076,1,.m4v,H264,478p,23.98,4.46,01:55,Text,DIRECT,NO,2020-12-08 18:28,From Russia with Love (1963),From Russia with Love,2020-12-15,7.5,PG,From Russia With Love (1963).m4v,/media/daveg/Lib/Movies/From Russia With Love (1963).m4v
1322313,1,.m4v,H264,472p,23.98,4.46,01:41,Bitmap,TRANSCODE,NO,2020-10-11 19:47,Sunshine Superman (2014),Sunshine Superman,2016-06-16,8.5,PG,Sunshine Superman (2014).m4v,/media/daveg/Lib/Movies/Sunshine Superman (2014).m4v
476964,1,.m4v,H264,480p,23.98,4.46,02:02,Bitmap,TRANSCODE,NO,2020-09-04 05:45,"Brave One, The (2007)",The Brave One,2018-09-26,8.0,R,The Brave One (2007).m4v,/media/daveg/Lib/Movies/The Brave One (2007).m4v
48593,1,.m4v,H264,348p,23.98,4.46,01:57,Text,DIRECT,NO,2022-01-27 18:11,"Sea Chase, The (1955)",The Sea Chase,,6.5,Approved,The Sea Chase (1955).m4v,/media/daveg/Lib/Movies/The Sea Chase (1955).m4v
118715,1,.m4v,H264,460p,23.98,4.46,01:57,Bitmap,TRANSCODE,NO,2021-10-28 19:32,"Big Lebowski, The (1998)",The Big Lebowski,2021-11-01,9.0,"TV-14::(DLSV, TV rating)",The Big Lebowski (1998).m4v,/media/daveg/Lib/Movies/The Big Lebowski (1998).m4v
3791216,1,.m4v,H264,480p,23.98,4.45,02:12,Text,DIRECT,NO,2020-08-29 16:15,All the Way (2016),All the Way,2016-12-17,7.5,TV-14,All the Way (2016).m4v,/media/daveg/Lib/Movies/All the Way (2016).m4v
338013,1,.m4v,H264,460p,120,4.45,01:48,Bitmap,TRANSCODE,NO,2020-12-02 19:34,Eternal Sunshine of the Spotless Mind (2004),Eternal Sunshine of the Spotless Mind,2020-12-06,9.5,R,Eternal Sunshine of the Spotless Mind (2004).m4v,/media/daveg/Lib/Movies/Eternal Sunshine of the Spotless Mind (2004).m4v
49470,1,.m4v,H264,462p,23.98,4.45,02:00,Bitmap,TRANSCODE,NO,2020-09-29 23:09,"Man Who Knew Too Much, The (1956)",The Man Who Knew Too Much,,9.0,TV-G::(TV rating),The Man Who Knew Too Much (1956).m4v,/media/daveg/Lib/Movies/The Man Who Knew Too Much (1956).m4v
424509,1,.m4v,H264,480p,29.97,4.45,01:39,Text,DIRECT,NO,2020-12-06 11:32,Touch the Sound: A Sound Journey with Evelyn Glennie (2004),Touch the Sound: A Sound Journey with Evelyn Glennie,2020-12-15,8.0,Not Rated,Touch the Sound- A Sound Journey with Evelyn Glennie (2004).m4v,/media/daveg/Lib/Movies/Touch the Sound- A Sound Journey with Evelyn Glennie (2004).m4v
122690,1,.m4v,H264,368p,47.95,4.45,02:02,Text,DIRECT,NO,2020-10-06 22:51,Ronin (1998),Ronin,,8.0,R,Ronin (1998).m4v,/media/daveg/Lib/Movies/Ronin (1998).m4v
446755,1,.m4v,H264,358p,23.98,4.45,02:05,Text,DIRECT,NO,2020-10-04 20:47,"Painted Veil, The (2006)",The Painted Veil,,8.0,PG-13,The Painted Veil (2006).m4v,/media/daveg/Lib/Movies/The Painted Veil (2006).m4v
81398,1,.m4v,H264,480p,29.97,4.44,02:09,Text,DIRECT,NO,2021-11-01 18:44,Raging Bull (1980),Raging Bull,2021-11-03,8.0,R,Raging Bull (1980).m4v,/media/daveg/Lib/Movies/Raging Bull (1980).m4v
59800,1,.m4v,H264,368p,23.98,4.44,02:10,Text,DIRECT,NO,2020-12-08 18:28,Thunderball (1965),Thunderball,,7.5,Approved,Thunderball (1965).m4v,/media/daveg/Lib/Movies/Thunderball (1965).m4v
4912910,1,.m4v,H264,362p,23.98,4.44,02:27,Text,DIRECT,NO,2020-10-01 14:40,Mission: Impossible - Fallout (2018),Mission: Impossible - Fallout,2026-05-11,10.0,PG-13,Mission- Impossible - Fallout (2018).m4v,/media/daveg/Lib/Movies/Mission- Impossible - Fallout (2018).m4v
4500922,1,.m4v,H264,360p,23.98,4.44,02:23,Text,DIRECT,NO,2020-09-30 13:45,Maze Runner: The Death Cure (2018),Maze Runner: The Death Cure,2018-07-18,6.3,PG-13,Maze Runner- The Death Cure (2018).m4v,/media/daveg/Lib/Movies/Maze Runner- The Death Cure (2018).m4v
1987680,1,.m4v,H264,460p,23.98,4.44,02:06,Bitmap,TRANSCODE,NO,2020-10-13 23:00,"Upside, The (2017)",The Upside,2020-01-30,7.5,PG-13,The Upside (2017).m4v,/media/daveg/Lib/Movies/The Upside (2017).m4v
6723592,1,.m4v,H264,392p,23.98,4.44,02:30,Bitmap,TRANSCODE,NO,2021-03-30 19:58,Tenet (2020),Tenet,,7.5,PG-13,Tenet (2020).m4v,/media/daveg/Lib/Movies/Tenet (2020).m4v
1964418,1,.m4v,H264,392p,23.98,4.44,02:10,Text,DIRECT,NO,2020-10-12 21:05,Tomorrowland (2015),Tomorrowland,2016-01-20,8.5,PG,Tomorrowland (2015).m4v,/media/daveg/Lib/Movies/Tomorrowland (2015).m4v
177971,1,.m4v,H264,372p,23.98,4.44,02:10,Text,DIRECT,NO,2020-10-05 10:28,"Perfect Storm, The (2000)",The Perfect Storm,2023-11-14,8.0,PG-13,The Perfect Storm (2000).m4v,/media/daveg/Lib/Movies/The Perfect Storm (2000).m4v
337741,1,.m4v,H264,464p,120,4.44,02:08,Text,DIRECT,NO,2020-10-08 21:34,Something's Gotta Give (2003),Something's Gotta Give,2020-04-22,7.5,"TV-14::(DLS, TV Rating.)",Something's Gotta Give (2003).m4v,/media/daveg/Lib/Movies/Something's Gotta Give (2003).m4v
2395427,1,.m4v,H264,360p,23.98,4.43,02:21,Text,DIRECT,NO,2020-08-31 15:46,Avengers: Age of Ultron (2015),Avengers: Age of Ultron,2016-01-09,8.0,PG-13,Avengers- Age of Ultron (2015).m4v,/media/daveg/Lib/Movies/Avengers- Age of Ultron (2015).m4v
301727,1,.m4v,H264,460p,120,4.43,01:38,Text,DIRECT,NO,2020-10-15 06:24,Winged Migration (2001),Winged Migration,,8.0,G,Winged Migration (2001).m4v,/media/daveg/Lib/Movies/Winged Migration (2001).m4v
82432,1,.m4v,H264,366p,23.98,4.43,01:50,Text,DIRECT,NO,2020-09-18 09:03,Gallipoli (1981),Gallipoli,,10.0,PG,Gallipoli (1981).m4v,/media/daveg/Lib/Movies/Gallipoli (1981).m4v
1023114,1,.m4v,H264,360p,23.98,4.42,02:13,Bitmap,TRANSCODE,NO,2020-11-23 13:22,"Way Back, The (2010)",The Way Back,,7.0,PG-13,The Way Back (2020).m4v,/media/daveg/Lib/Movies/The Way Back (2020).m4v
8544498,1,.m4v,H264,360p,23.98,4.42,01:48,Bitmap,TRANSCODE,NO,2020-11-23 13:22,"Way Back, The (2020)",The Way Back,2020-11-24,7.5,R,The Way Back (2020).m4v,/media/daveg/Lib/Movies/The Way Back (2020).m4v
385004,1,.m4v,H264,362p,120,4.42,01:59,Bitmap,TRANSCODE,NO,2020-09-21 07:15,House of Flying Daggers (2004),House of Flying Daggers,,8.0,PG-13,House of Flying Daggers (2004).m4v,/media/daveg/Lib/Movies/House of Flying Daggers (2004).m4v
117381,1,.m4v,H264,352p,23.98,4.42,02:09,Text,DIRECT,NO,2020-10-05 16:53,Primal Fear (1996),Primal Fear,,8.0,TV-14::(DLSV),Primal Fear (1996).m4v,/media/daveg/Lib/Movies/Primal Fear (1996).m4v
1872194,1,.m4v,H264,360p,23.98,4.42,02:21,Bitmap,TRANSCODE,NO,2020-09-24 06:09,"Judge, The (2014)",The Judge,2015-03-08,8.0,"TV-14::(DLV, TV Rating.)",The Judge (2014).m4v,/media/daveg/Lib/Movies/The Judge (2014).m4v
47889,1,.m4v,H264,338p,48,4.42,01:50,Text,DIRECT,NO,2022-01-27 19:24,Blood Alley (1955),Blood Alley,,6.3,Approved,Blood Alley (1955).m4v,/media/daveg/Lib/Movies/Blood Alley (1955).m4v
2058673,1,.m4v,H264,360p,23.98,4.41,01:54,Bitmap,TRANSCODE,NO,2020-10-05 13:02,Point Break (2015),Point Break,2020-02-18,9.0,PG-13,Point Break (2015).m4v,/media/daveg/Lib/Movies/Point Break (2015).m4v
119395,1,.m4v,H264,364p,23.98,4.41,02:04,Bitmap,TRANSCODE,NO,2020-09-23 12:56,"Jackal, The (1999)",The Jackal,,8.0,R,The Jackal (1999).m4v,/media/daveg/Lib/Movies/The Jackal (1999).m4v
95953,1,.m4v,H264,462p,23.98,4.40,02:13,Text,DIRECT,NO,2020-10-06 06:13,Rain Man (1988),Rain Man,2019-10-08,10.0,TV-14::(TV rating),Rain Man (1988).m4v,/media/daveg/Lib/Movies/Rain Man (1988).m4v
1825683,1,.m4v,H264,360p,23.98,4.40,02:14,Text,DIRECT,NO,2020-09-02 19:19,Black Panther (2018),Black Panther,2019-08-15,9.0,PG-13,Black Panther (2018).m4v,/media/daveg/Lib/Movies/Black Panther (2018).m4v
71562,1,.m4v,H264,404p,29.97,4.40,03:22,None,-,NO,2021-09-23 05:17,"Godfather Part II, The (1974)",The Godfather Part II,2021-09-24,8.5,TV-MA::(IFC Rating),The Godfather Part II (1974).m4v,/media/daveg/Lib/Movies/The Godfather Part II (1974).m4v
1950186,1,.m4v,H264,364p,23.98,4.40,02:32,Text,DIRECT,NO,2020-09-17 07:40,Ford v Ferrari (2019),Ford v Ferrari,2022-06-13,10.0,TV-14::(LV),Ford v Ferrari (2019).m4v,/media/daveg/Lib/Movies/Ford v Ferrari (2019).m4v
1568911,1,.m4v,H264,360p,23.98,4.40,02:26,Text,DIRECT,NO,2020-10-14 10:41,War Horse (2011),War Horse,,10.0,PG-13,War Horse (2011).m4v,/media/daveg/Lib/Movies/War Horse (2011).m4v
25316,1,.m4v,H264,480p,29.97,4.40,01:45,Text,DIRECT,NO,2020-09-24 08:17,It Happened One Night (1934),It Happened One Night,,8.0,Passed::(National Board of Review),It Happened One Night (1934).m4v,/media/daveg/Lib/Movies/It Happened One Night (1934).m4v
177858,1,.m4v,H264,480p,29.97,4.39,01:39,Bitmap,TRANSCODE,NO,2020-09-21 21:09,In July (2000),In July,,8.0,NR,In July (2000).m4v,/media/daveg/Lib/Movies/In July (2000).m4v
445922,1,.m4v,H264,354p,23.98,4.39,02:13,Text,DIRECT,NO,2020-08-28 17:47,Across the Universe (2007),Across the Universe,2019-10-06,9.0,PG-13,Across the Universe (2007).m4v,/media/daveg/Lib/Movies/Across the Universe (2007).m4v
166896,1,.m4v,H264,368p,120,4.39,01:52,Text,DIRECT,NO,2020-10-11 16:30,"Straight Story, The (1999)",The Straight Story,,8.0,G,The Straight Story (1999).m4v,/media/daveg/Lib/Movies/The Straight Story (1999).m4v
1458175,1,.m4v,H264,364p,120,4.39,02:13,Text,DIRECT,NO,2020-10-03 11:48,"Next Three Days, The (2010)",The Next Three Days,,8.0,"TV-14::(LSV, TV Rating.)",The Next Three Days (2010).m4v,/media/daveg/Lib/Movies/The Next Three Days (2010).m4v
61512,1,.m4v,H264,360p,24.08,4.39,02:07,Bitmap,TRANSCODE,NO,2020-09-10 21:55,Cool Hand Luke (1967),Cool Hand Luke,2019-02-08,8.0,GP,Cool Hand Luke (1967).m4v,/media/daveg/Lib/Movies/Cool Hand Luke (1967).m4v
311113,1,.m4v,H264,360p,23.98,4.39,02:18,Text,DIRECT,NO,2020-09-30 11:21,Master and Commander: The Far Side of the World (2003),Master and Commander: The Far Side of the World,,8.0,PG-13,Master and Commander- The Far Side of the World (2003).m4v,/media/daveg/Lib/Movies/Master and Commander- The Far Side of the World (2003).m4v
315983,1,.m4v,H264,460p,23.98,4.39,02:06,Text,DIRECT,NO,2020-09-21 07:24,House of Sand and Fog (2003),House of Sand and Fog,2019-07-17,8.0,R,House of Sand and Fog (2003).m4v,/media/daveg/Lib/Movies/House of Sand and Fog (2003).m4v
1229822,0,.m4v,H264,462p,23.98,4.39,02:00,Bitmap,TRANSCODE,NO,2020-09-23 13:25,Jane Eyre (2011),Jane Eyre,2024-01-10,7.3,PG-13,Jane Eyre (2011).m4v,/media/daveg/Lib/Movies/Jane Eyre (2011).m4v
